dim1,dim2,Cluster,clustered,topic_labels,topic_words,Language,topic_nr,top_word,trans,top_words_trans
3.4386916,9.177987,1,True,cs_0,"['migrantu', 'rok', 'evropa', 'libye', 'tisic', 'letos', 'do', 'milión', 'italie', 'mori', 'izrael', 'recka', 'rodina', 'mor', 'turecký', 'afrika', 'ceka', 'zacatku', 'dorazit', 'rusko']",cs,0,dorazit,arrive,dorazit(arrive)
-0.010604957,14.0788,0,True,cs_1,"['uprchnout', 'komisare', 'unhcr', 'komisar', 'vysokeho', 'prava', 'urad', 'kritizovat', 'lidska', 'uradu', 'vysoky', 'zeman', 'porusovani', 'kampan', 'vracet', 'xenofob', 'pro', 'ukazovat', 'porusuje', 'systematicky']",cs,1,porusovani,Violations,porusovani(Violations)
4.991834,8.361017,1,True,cs_2,"['pomoc', 'uprchlikum', 'organizace', 'azyl', 'sef', 'agentura', 'eu', 'statu', 'kvuli', 'rada', 'hranice', 'recko', 'zada', 'humanitarni', 'penize', 'uprchlicky', 'tabor', 'spojit', 'mezinarodni', 'potrebuje']",cs,2,uprchlicky,refugee,uprchlicky(refugee)
0.19994292,13.139391,0,True,cs_3,"['uprchnout', 'milión', 'člověk', 'svete', 'syrie', 'unhcr', 'eurozpravycz', 'kvuli', 'pocet', 'refugees', 'domov', 'konflikt', 'un', 'tvrdi', 'vloni', 'dna', 'na', 'ctyri', 'vic', 'syria']",cs,3,uprchnout,flee,uprchnout(flee)
4.8146644,8.302292,1,True,cs_4,"['staty', 'krize', 'eu', 'migracni', 'musi', 'migranty', 'zeme', 'svet', 'evropa', 'vyzvat', 'evrope', 'varovat', 'uprchnout', 'rekl', 'cela', 'evropske', 'uprchlicke', 'prijmout', 'prostrednictvim', 'evropska']",cs,4,uprchlicke,refugee,uprchlicke(refugee)
7.743992,6.241477,2,True,cs_5,"['globalni', 'migraci', 'pakt', 'uprchlicich', 'kompakt', 'pakty', 'legalni', 'nelegalni', 'globalniho', 'dokument', 'podepsat', 'odmita', 'rizene', 'bezpecne', 'pry', 'podepisovat', 'kompaktu', 'podporovat', 'pravne', 'zavazny']",cs,5,podporovat,support,podporovat(support)
7.6875157,6.3806963,2,True,cs_6,"['pakt', 'migraci', 'vlada', 'babis', 'cesko', 'uprchlicich', 'globalni', 'ministr', 'cr', 'hlasovat', 'zahranici', 'premier', 'globalnim', 'globalnimu', 'rozhodnout', 'prostrednictvim', 'ceska', 'petricek', 'odstoupit', 'uvést']",cs,6,uprchlicich,refugees,uprchlicich(refugees)
2.0445073,11.11946,0,True,cs_7,"['migrace', 'migraci', 'madarsko', 'usa', 'pravo', 'země', 'politika', 'dohoda', 'republika', 'konference', 'zemich', 'mezinarodni', 'ceska', 'ceske', 'york', 'lidske', 'migracni', 'new', 'dokument', 'zakladni']",cs,7,konference,conferences,konference(conferences)
-0.35970965,13.98892,0,True,cs_8,"['uprchnout', 'na', 'eu', 'migranti', 'deti', 'evropa', 'unhcr', 'via', 'zeme', 'země', 'prostrednictvim', 'moci', 'lide', 'dostat', 'uprchlickych', 'zeny', 'migranty', 'sám', 'hranice', 'sever']",cs,8,uprchlickych,refugee,uprchlickych(refugee)
2.3060484,12.764837,0,True,cs_9,"['být', 'ten', 'se', 'migrace', 'uprchlik', 'migranti', 'migrant', 'ted', 'jít', 'neco', 'za', 'nikdo', 'vsichni', 'zastavit', 'cr', 'lze', 'meli', 'nekdo', 'zdroj', 'maji']",cs,9,vsichni,All,vsichni(All)
-0.48528588,12.031392,0,True,da_0,"['den', 'pa', 'en', 'af', 'dk', 'kvoteflygtning', 'have', 'asylansgere', 'og', 'land', 'fa', 'modtage', 'del', 'imod', 'tale', 'br', 'hele', 'igen', 'tilbage', 'historie']",da,0,asylansgere,asylum seekers,asylansgere(asylum seekers)
-1.2966334,14.151016,0,True,da_1,"['flygtning', 'dkaid', 'syrisk', 'flygtningelejr', 'pa', 'syrien', 'unhcr', 'mio', 'menneske', 'million', 'flugt', 'liv', 'hjlp', 'fordrive', 'verden', 'jordan', 'hjlpe', 'wfp', 'situation', 'libanon']",da,1,situation,situation,situation(situation)
6.6761513,5.9513125,2,True,da_2,"['fn', 'og', 'eu', 'europa', 'pa', 'land', 'indvandring', 'med', 'vi', 'af', 'politiker', 'kre', 'samarbejde', 'bad', 'folk', 'enig', 'dansk', 'befolkning', 'dansker', 'skulle']",da,2,befolkning,population,befolkning(population)
7.205012,6.504736,2,True,da_3,"['fn', 'migranter', 'flygtning', 'dkpol', 'unhcr', 'via', 'hav', 'libyen', 'middelhav', 'sende', 'forhold', 'iflge', 'nromraderne', 'news', 'rejse', 'italien', 'plads', 'eupol', 'miste', 'hjem']",da,3,middelhav,Mediterranean,middelhav(Mediterranean)
